Stop_street,stop_lat,stop_name,stop_region,zone_id,stop_country,stop_lon,stop_city,stop_id,stop_desc,stop_postcode,location_type
,44.717411,hammonds Plains Rd after Basinview,,,,-63.683483,,6804,,,0
,44.718971,hammonds Plains Rd after Bedford Hills,,,,-63.685738,,6805,,,0
,44.727852,hammonds Plains Rd opposite Yankeetown Rd,,,,-63.816788,,6802,,,0
,44.721195,hammonds Plains Rd opposite Brookshire Crt,,,,-63.688271,,6803,,,0
,44.599968,greystone Dr [inbound] before Cranberry Crt,,,,-63.612572,,6800,,,0
,44.727833,hammonds Plains Rd after Yankeetown Rd,,,,-63.816662,,6801,,,0
,44.666672,portland Hills Dr in front of civic address 537,,,,-63.50795,,8839,,,0
,44.665558,portland Hills Dr in front of Regal Luxury,,,,-63.505627,,8838,,,0
,44.664314,portland Hills Dr in front of civic address 159,,,,-63.510265,,8835,,,0
,44.665569,portland Hills Dr in front of civic address 8,,,,-63.515194,,8834,,,0
,44.664097,portland Hills Dr in front of civic address 367,,,,-63.503891,,8837,,,0
,44.663273,portland Hills Dr before civic address 257,,,,-63.507614,,8836,,,0
,44.663956,portland Hills Dr in front of civic address 366,,,,-63.504219,,8831,,,0
,44.665329,portland Hills Dr before civic address 460,,,,-63.506233,,8830,,,0
,44.664818,portland Hills Dr before civic address 146,,,,-63.510571,,8833,,,0
,44.663353,portland Hills Dr after civic address 276,,,,-63.506908,,8832,,,0
,44.662498,lacewood Dr before Dunbrack St,,,,-63.65554,,7078,,,0
,44.660351,lacewood Dr [eastbound] before Evans Ave,,,,-63.635254,,7079,,,0
,44.663311,lacewood Dr in front of civic address 159,,,,-63.643612,,7074,,,0
,44.663872,lacewood Dr before Bayview Ave,,,,-63.645535,,7075,,,0
,44.664112,lacewood Dr before Cedarbrae Lane,,,,-63.648682,,7076,,,0
,44.663227,lacewood Dr [westbound] before Dunbrack St,,,,-63.654144,,7077,,,0
,44.66164,lacewood Dr after Radcliffe Dr,,,,-63.662727,,7070,,,0
,44.661087,lacewood Dr after Radcliffe Dr,,,,-63.664402,,7071,,,0
,44.662178,lacewood Dr after Willet St,,,,-63.658695,,7072,,,0
,44.659855,lacewood Dr after and opposite Stratford Way,,,,-63.665707,,7073,,,0
,44.658558,james St in front of civic address 30,,,,-63.743195,,6976,,,0
,44.658707,james St before civic address 27,,,,-63.743156,,6977,,,0
,44.688545,inverary Dr before Strath Ln,,,,-63.536205,,6974,,,0
,44.646587,irving St before Pleasant St,,,,-63.543484,,6975,,,0
,44.635208,inglis St opposite South Bland St,,,,-63.572784,,6972,,,0
,44.694122,ilsley Ave opposite Civ 200 [to Bridge Terminal],,,,-63.583008,,6973,,,0
,44.671803,richmond Manor Turning Loop [to Mumford],,,,-63.61618,,8165,,,0
,44.724899,innovation Dr before Hammonds Plains Rd (to Bedford),,,,-63.696087,,6971,,,0
,44.627693,ridge Valley Rd before Highfield St,,,,-63.619133,,8169,,,0
,44.629822,ridge Valley Rd before Bromley Rd,,,,-63.621174,,8168,,,0
,44.651295,joseph Howe Dr [southbound] in front of Bi-hi,,,,-63.630638,,6979,,,0
,44.854393,beaverbank Rd in front of Sportsfield,,,,-63.684265,,8724,,,0
,44.700024,ross Rd in front of civic address 36,,,,-63.460476,,8765,,,0
,44.69603,ross Rd in front of civic address 156,,,,-63.458611,,8764,,,0
,44.708462,highway 7 after civic address 1776,,,,-63.439407,,8767,,,0
,44.703381,ross Rd [outbound] before Highway 7,,,,-63.46468,,8766,,,0
,44.685116,ross Rd in front of civic address 436,,,,-63.453583,,8761,,,0
,44.682392,cole Harbour Rd [outbound] before Ross Rd,,,,-63.454086,,8760,,,0
,44.690784,ross Rd in front of civic address 284,,,,-63.455364,,8763,,,0
,44.687263,ross Rd in front of civic address 370,,,,-63.453537,,8762,,,0
,44.656082,maplewood Ave [outbound] before Norway Maple Dr,,,,-63.737453,,7180,,,0
,44.656334,maplewood Ave [inbound] before Norway Maple Dr,,,,-63.737171,,7181,,,0
,44.632957,margaret Rd before Mountain Rd,,,,-63.621788,,7182,,,0
,44.633362,margaret Rd opposite civic address 4,,,,-63.62027,,7183,,,0
,44.720066,brooks Dr opposite East Preston Rec Centre,,,,-63.432541,,8769,,,0
,44.714714,highway 7 before Lower Governor St,,,,-63.435081,,8768,,,0
,44.633305,osborne St in front of civic address 16,,,,-63.625854,,7186,,,0
,44.634277,mayo St in front of civic address 7,,,,-63.624756,,7187,,,0
,44.653816,willet St before Main Ave,,,,-63.646553,,8501,,,0
,44.671066,thistle St in front of Dartmouth High Sch,,,,-63.572002,,8389,,,0
,44.675686,thistle St in front of civic address 99,,,,-63.566895,,8388,,,0
,44.672752,thistle St in front of civic address 23,,,,-63.570145,,8387,,,0
,44.675568,thistle St after Mayflower St,,,,-63.566795,,8386,,,0
,44.673515,thistle St after Maple St,,,,-63.569035,,8385,,,0
,44.677689,thistle St after Chrichton Pk Rd,,,,-63.565147,,8384,,,0
,44.674667,thistle St after Beech St,,,,-63.56778,,8383,,,0
,44.684238,highfield Terminal Exit before Pinecrest Dr,,,,-63.588165,,8382,,,0
,44.694466,taranaki Dr opposite civic address 171,,,,-63.494549,,8381,,,0
,44.690754,taranaki Dr before civic address 278,,,,-63.49398,,8380,,,0
,44.670784,portland St after Woodlawn Rd,,,,-63.531178,,8050,,,0
,44.659439,windsor St [northbound] before and opposite Maxwell St,,,,-63.611431,,8549,,,0
,44.698521,windmill Rd [inbound] before Wright Ave Metrolink,,,,-63.605427,,8548,,,0
,44.631687,pleasant St opposite Shearwater Pmq's,,,,-63.521645,,8019,,,0
,44.62957,pleasant St [southbound] opposite Nsp Sub Station,,,,-63.519402,,8018,,,0
,44.677834,windmill Rd opposite Sunnydale Ave,,,,-63.592213,,8545,,,0
,44.668045,pleasant St before Portland St civic address 61,,,,-63.559071,,8016,,,0
,44.616924,pleasant St opposite Legion,,,,-63.500397,,8015,,,0
,44.61417,pleasant St [southbound] opposite Langille's Lane,,,,-63.49741,,8014,,,0
,44.641171,pleasant St [eastbound] opposite Imperial Refn,,,,-63.534054,,8013,,,0
,44.623299,pleasant St [southbound] opposite Howard Ave,,,,-63.510181,,8012,,,0
,44.644451,pleasant St [southbound] opposite Everette St,,,,-63.541286,,8011,,,0
,44.653587,pleasant St [southbound] opposite Dartmouth General,,,,-63.548702,,8010,,,0
,44.659622,valour Way - Dockyard 3rd [northbound] Stop,,,,-63.586994,,6572,,,0
,44.655594,valour Way - Dockyard 3rd [southbound] Stop,,,,-63.581593,,6573,,,0
,44.658024,valour Way - Dockyard 2nd [northbound] Stop,,,,-63.584816,,6570,,,0
,44.657242,valour Way - Dockyard 2nd [southbound] Stop,,,,-63.583996,,6571,,,0
,44.67733,dorothea Dr opposite Regal Rd,,,,-63.514988,,6576,,,0
,44.68594,pinecrest Dr in front of civic address 106,,,,-63.586155,,7453,,,0
,44.67881,dorothea Dr [westbound] before Topsail Blvd,,,,-63.512199,,6574,,,0
,44.678143,dorothea Dr [westbound] opposite civic address 78,,,,-63.509274,,6575,,,0
,44.641651,downs Ave before Milsom St,,,,-63.636845,,6578,,,0
,44.771423,downsview opposite Wendy's,,,,-63.693176,,6579,,,0
,44.685829,pinecrest Dr before Crystal Dr,,,,-63.584492,,7458,,,0
,44.684921,pinecrest Dr before Primrose St,,,,-63.582642,,7459,,,0
,44.653793,willet St after Main Ave,,,,-63.646755,,8493,,,0
,44.656532,willet St after Glenforest Dr,,,,-63.649319,,8492,,,0
,44.657204,willet St after Dunbrack St,,,,-63.651264,,8491,,,0
,44.651932,willet St after Coronation Ave,,,,-63.645157,,8490,,,0
,44.65794,willet St opposite Westridge Dr,,,,-63.653934,,8497,,,0
,44.659756,willet St opposite Sheridan St,,,,-63.655788,,8496,,,0
,44.656235,willet St opposite Glenforest Dr,,,,-63.649132,,8495,,,0
,44.654415,willet St after Main Ave,,,,-63.647064,,8494,,,0
,44.654877,willet St before Apollo Ct,,,,-63.64769,,8499,,,0
,44.652718,willet St before Adelaide Ave,,,,-63.645615,,8498,,,0
,44.674068,crichton Ave [eastbound] after Oak St,,,,-63.564701,,6536,,,0
,44.672176,crichton Ave before St.peters Church,,,,-63.564514,,6537,,,0
,44.676308,crichton Ave [eastbound] in front of civic address 90,,,,-63.563793,,6534,,,0
,44.639069,south St [westbound] after Queen St,,,,-63.574318,,8292,,,0
,44.638363,south St [eastbound] in front of civic address 5650,,,,-63.576443,,8295,,,0
,44.639469,south St [westbound] in front of civic address 5283,,,,-63.572666,,8294,,,0
,44.636826,south St [eastbound] in front of I.w.k Hospital,,,,-63.583618,,8297,,,0
,44.636585,south St [eastbound] in front of civic address 5966,,,,-63.584106,,8296,,,0
